ABSOLUT , 15402, 1, 23.5, 
ABSOLUT CITRON, 10950, 3.3, 11.4, 
ABSOLUT MANDARIN, 47875, 0.3, 7.9, 
BELVEDERE , 5443, 1.3, 0.1, 
BELVEDERE PEACH, 402907, 0, 1.1, 
CIROC AMARETTO, 18698, 0, 0.5, 
GREY GOOSE , 51037, 1.8, 3.3, 
KETEL ONE , 36126, 0.6, 5.7, 
KETEL ONE CITREON, 97617, 0.2, 0.8, 
KETEL ONE ORANJE, 290887, 0.1, 8.1, 
SKYY , 368556, 1, 13.1, 
SMIRNOFF , 390982, 4.1, 3.2, 
SMIRNOFF BLUEBERRY, 164505, 0.8, 9.4, 
SMIRNOFF CAKE, 320443, 0.2, 3.6, 
SMIRNOFF CARAMEL, 320450, 0, 7.2, 
SMIRNOFF CHERRY, 302396, 1, 3.5, 
SMIRNOFF CINNAMON SUGAR, 341278, 0, 13.7, 
SMIRNOFF CITRUS, 303615, 0.4, 0.6, 
SMIRNOFF GRAPE, 302405, 0.7, 6.1, 
SMIRNOFF MANGO, 328607, 0.4, 5.1, 
SMIRNOFF ORGANGE, 368315, -3.7, 15.1, 
SMIRNOFF RASPBERRY, 370554, 2.2, 7.6, 
SMIRNOFF RASPBERRY POM, 370942, 1.1, 19.7, 
SMIRNOFF SORBET, 328614, 0.1, 0.4, 
SMIRNOFF VANILLA, 303616, 0, 5.9, 
SMIRNOFF WHIPPED, 143419, 0.7, 17.3, 
SMIRNOFF WILD HONEY, 341302, 0, 0.7, 
STOLI , 65136, 6.9, 94.8, 
STOLI BLUEBERRY, 9121616, 0.7, 12.7, 
STOLI JALEPENO, 9143658, 0, 11.6, 
STOLI PEACH, 9121653, 0.2, 9.4, 
STOLI RASPBERRY, 9121556, 1.4, 4.6, 
STOLI STRAWBERRY, 9121656, 0.2, 10.3, 
STOLI VANILLA, 9121611, 0.3, 10.9, 
STOLI ELITE ELITE, 9083651, 0.4, 0.1, 
TITOS , 46599, 1.9, 7.8, 
WELL VODKA  (ARISTOCRAT) , 69057, 8.7, 9.9, 
